username,tweet,date,time
كريبتو كاست,كريبتو كاست @AlCryptoCast · 42s كسرت صناديق البيتكوين (ETFs) سلسلة أرباحها التي استمرت أربعة أيام بإيرادات بلغت 92 مليون دولار بقيادة بلاك روك وبيتوايز في حين واصلت صناديق الأثير تعافيها بإيرادات بلغت 35 مليون دولار #btc #eth #بيتكوين #إيثيريوم #Bitcoin #Ethereum #Crypto 3,2025-08-08,08:24:00
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 49s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .od86 1,2025-08-08,08:23:53
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 55s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .iyciv 1,2025-08-08,08:23:47
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 58s  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .c8v986 1,2025-08-08,08:23:44
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .7td75 3,2025-08-08,08:23:40
Randy Leary,Randy Leary @Randylearyooo · 1m Token: $OP/USDT  Long or short: Long  TP1: 0.735559 TP2: 0.805090 SL: 0.704900  Current price: 0.731900   #bitcoin  #crypto #btc #eth #altcoin #trading #signal #memecoin #forex #xau #investing #gold #blockchain #OP 1 4,2025-08-08,08:23:37
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .iyci 2,2025-08-08,08:23:37
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .ky8v9 2,2025-08-08,08:23:34
小竹,小竹 @oYLdLKqVwZ52763 · 1m “149.5で売り待ち”ドンピシャ 147.85まで伸ばして +165 pips！竹内さん感謝しかないっす！！！！  ドル円 ゴールド XAUUSD 為替介入 CPI 日経平均 ビットコイン イーサリアム エヌビディア メタプラネット #BTC Quote 竹内圭【ドル円分析】 @keitakeuchi0807 · 4h 8月8日、お盆前のドル円を簡単解説！  ◎エントリー目安 売り狙い：147.3付近 SL：147.4抜け TP：146.6 部分利確候補  【ファンダ整理】  ー結局は金利で動く相場状況ー  まず今の相場は結局金利次第で動く形です。 Show more 27,2025-08-08,08:23:30
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .o6fof69 2,2025-08-08,08:23:28
Aixg华语,"Aixg华语 @AIXGChinese · 1m 市场快讯｜2025年8月8日（周五）  恐惧与贪婪指数：75 全网多空占比：47.53：52.47 BTC 报 $117,350（+2.1%） ETH 报 $3,897（+5.9%） SOL 报 $174（+4.0%）  #AIXG  #BTC #ETH  #SOL #加密貨幣 2",2025-08-08,08:23:26
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .85xiyc 4,2025-08-08,08:23:22
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .8yc8g 1,2025-08-08,08:23:16
Jesús V,Jesús V @jesmotril · 1m El mercado de las #Criptomonedas se está calentando y #BTC la dominancia no rompe a alza esto generará una #ALTSEASON en unos pocos meses ! 1 1,2025-08-08,08:23:13
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .ic86 2,2025-08-08,08:23:13
Mr. Q NeuralArB,"Mr. Q NeuralArB @LuisAlvaresQ · 1m  Trending – August 8 $PENDLE +26.32% | $XLM +15.14% $LINK +15.08% | $XRP +11.64% | $ETH +5.68%  Big caps waking up as $BTC (~$117K) inches higher.  $PENDLE leads with a huge jump, while $SOL and $AITECH keep steady greens. #NeuralArB #Crypto #Altcoins #BTC #ETH #Pendle #XRP 15",2025-08-08,08:23:09
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .8yxy8 2,2025-08-08,08:23:08
yoshi,yoshi @yoshi5087456 · 1m 世界中のビットコイナーが意識してること ゴールドの時価総額まではいく →今から約10倍  そんなこと誰でも分かっていて問題はいついくかどうか #BTC 5,2025-08-08,08:23:07
MemeToken Tech,"MemeToken Tech @memetokentech · 1m Out now, some limited edition Gold Trading Cards that are free to download.   Please join our Telegram group for all the latest news and updates https://t.me/memetokentechofficial…  Token Ticker $MTT  #eth #btc #xrp #ripple #memecoin #AltcoinSeason #altcoin #nfts #tradingcards 18",2025-08-08,08:23:05
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .ihv9u 1,2025-08-08,08:23:01
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC . oyx8yc 3,2025-08-08,08:22:58
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .uyx75 4,2025-08-08,08:22:54
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 1m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .ohci 2,2025-08-08,08:22:50
開運鬼龍 BYBIT【KAIUN】BITGET【h1qb】MEXC【1aXc9】,開運鬼龍 BYBIT【KAIUN】BITGET【h1qb】MEXC【1aXc9】 @kaiun69 · 1m お知らせ  私のリンクから  #ZOOMEX に新規登録すると  今だけ  【入金不要ボーナス３０ドル】  【60日間手数料割引30%オフ】  になります  #ZOOMEX 新規登録はコチラ 招待コードをどうぞ【KAIUN】 http://partner.zoomex.com/kaiun  開運鬼龍#BTC 3 40,2025-08-08,08:22:49
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .ohci 2,2025-08-08,08:22:50
開運鬼龍 BYBIT【KAIUN】BITGET【h1qb】MEXC【1aXc9】,開運鬼龍 BYBIT【KAIUN】BITGET【h1qb】MEXC【1aXc9】 @kaiun69 · 2m お知らせ  私のリンクから  #ZOOMEX に新規登録すると  今だけ  【入金不要ボーナス３０ドル】  【60日間手数料割引30%オフ】  になります  #ZOOMEX 新規登録はコチラ 招待コードをどうぞ【KAIUN】 http://partner.zoomex.com/kaiun  開運鬼龍#BTC 3 40,2025-08-08,08:22:49
1vabene,1vabene @1vabene · 2m just looking for some little short move on #btc 3,2025-08-08,08:22:46
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .yrs64 2,2025-08-08,08:22:39
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC . 5df 5,2025-08-08,08:22:33
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9ud8 5,2025-08-08,08:22:23
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .pig0 7,2025-08-08,08:22:20
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9uxc8 6,2025-08-08,08:22:16
Godswill,"Godswill @iZILLA47 · 2m Replying to  @iZILLA47 $RAWW’s roadmap made it clear:  • Phase 2 = Gamification, merch, IRL movement • Phase 3 = Expansion, community, comics • Phase 4 = Products, partnerships, reward systems  Current in phase 3 and the early moves are already compounding.  #crptp #defi #raww #btc 1 7",2025-08-08,08:22:16
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .oud9u 7,2025-08-08,08:22:13
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .86r6 4,2025-08-08,08:22:10
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .iyf7 5,2025-08-08,08:22:07
Neron Signals,Neron Signals @NeronSignals · 2m #BTC Grafigi ve AI Nero Bot yorumu.  Tum hizmetlerimiz: http://neronsignals.com  #BTC #BTCCHART #CHART #NeronSignals #crypto #Binance #AICrypto #kripto #analiz 5,2025-08-08,08:22:05
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .utxiyx8 7,2025-08-08,08:22:03
OR,OR @or__tan1982 · 2m #BTC 上がっていきそう。 といってももはや期待値は望めないから #solana を集めることにする。 まだまだ伸びるしイーサリアムみたいなポジションを期待して！ #bitget で買えるよ  #SOL #仮想通貨 12,2025-08-08,08:22:03
Godswill,"Godswill @iZILLA47 · 2m Replying to  @iZILLA47 This isn’t just a game. It’s a strategic growth engine.  In a space where 99% of games are vaporware, $RAWW shipped something that:   Actually works  Runs smoothly on mobile  Feels fun to play  Gets better over time  #raww #btc #memecoins #gamer 1 1 7",2025-08-08,08:21:59
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 2m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .iydi6 7,2025-08-08,08:21:57
bitcoin top signal tracker,bitcoin top signal tracker @hodlthesmartway · 3m Pi cycle top indicator  Status: not hit 111MA: 107172 350x2MA: 181975 Peak: 111MA crosses 350×2MA  #btc #crypto #Bullrun2025 1 6,2025-08-08,08:21:54
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .97gg 5,2025-08-08,08:21:51
Albert Matty Crypto Expert,Albert Matty Crypto Expert @albert_matt3 · 3m  ALERT: Avoid these platforms — #Swaper #tradecage #Virodex #Noxsa #extobit #icedswap #worex #exmaxi They’re all blocking withdrawals. DM for expert recovery help. #CryptoScam #CryptoAlert #Solana #Paobc #BTC #skvq #LSSC #STIQ 3,2025-08-08,08:21:47
Jingle Mining,Jingle Mining @JingleMining · 3m Bitmain S19 Pro Hyd:24/7 operation is a breeze—no electricity worries #btc #jinglemining #mining #web3 #asicminer #DOGE #BEL #DGB #LTC #Bitmain 8,2025-08-08,08:21:46
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .86d86diyc 5,2025-08-08,08:21:46
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .75s7d97 6,2025-08-08,08:21:44
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9uc97dou 7,2025-08-08,08:21:41
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .8yd96lyx86 6,2025-08-08,08:21:39
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .gotxoy 7,2025-08-08,08:21:37
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .97f979 7,2025-08-08,08:21:25
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .t7d86 5,2025-08-08,08:21:18
Hyperbot Official| SMART DASHBOARD&TRADING,"Hyperbot Official| SMART DASHBOARD&TRADING @Hyperbotai · 3m This morning, AguilaTrades  @AguilaTrades  increased his long positions in both $BTC and $ETH to $227 million, with a current floating profit of $3.227 million.  #BTC: 40x long, 1277.75 coins held, opening price $115,968   Track  @AguilaTrades  : https://hyperbot.network/trader/0x1f250Df59A777d61Cb8bd043c12970F3AFE4F925… 1 8",2025-08-08,08:21:15
Ekonomikoçu,"Ekonomikoçu @ekonomikocu · 3m Replying to  @ekonomikocu #BTC göstergeleri aşırı derecede şişince, #eth göstergeleri geri de kaldılar.  Artık ABD borsalarından tut  bir çok yer tıkandı gitmiyor.  Piyasaya iki yol kaldı.  Ya #Dxy yi kaldıracaksın arkası  yumuşak dile döneceksin..  Ya da bir yerlere taviz vermen  gerekiyor.   Bu tabiki Show more 1 47 782",2025-08-08,08:21:14
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC . 96d86 6,2025-08-08,08:21:11
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .97f07 5,2025-08-08,08:21:08
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 3m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .9u69 5,2025-08-08,08:21:00
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 4m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .iyxy 6,2025-08-08,08:20:51
TheBitMedia,TheBitMedia @TheBitMedia_com · 4m The  @eigenlayer  tokenomics more bad than  @celestia From oct they have 12% of supply unlock every month (2x of celestia as celestia unlocks 6%) Imagine the dump of Eigen token after unlock  I just shorted this VC shit #crypto #bull #bear #btc #eth #sol #altseason 1 1 14,2025-08-08,08:20:42
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 4m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .if9u 1 15,2025-08-08,08:20:32
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 4m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .g97g 1 11,2025-08-08,08:20:29
PROFIT MAKERRER,PROFIT MAKERRER @SarmadMazhar10 · 4m  https://t.me/ProfitMakerrer   Daily Gold Alerts   Live Charts & Analysis   Stay Updated in the App!  Join here:  https://t.me/ProfitMakerrer  https://t.me/ProfitMakerrer  #GOLD   #FOREX #XAUUSD  #crypto #BTC .7f7 1 7,2025-08-08,08:20:26
Albert Matty Crypto Expert,Albert Matty Crypto Expert @albert_matt3 · 4m  Identity theft + deepfakes = new crypto scam wave! Don’t believe every “founder” video you see!  #CryptoRecovery #BitWalletBP #CryptoScam #ScamAlert #Blockchain #BTC #Web3 #CryptoCommunity #Altcoin #ETH #DegeCoin #Margex #SwaperScam #LSSC #STIQ #Swaper #skvq 6,2025-08-08,08:20:25
